key_resp.corr,key_resp.rt,,,,Sequential,Random
1,0.8831199,,,,0.8831199,1.0672161
1,1.068832,,,,1.068832,0.439369
1,0.6378815,,,,0.6378815,1.1171229
1,0.3796355,,,,0.3796355,0.5264319
1,0.3262276,,,,0.3262276,0.5733696
1,0.4146021,,,,0.4146021,0.8622176
1,0.37107,,,,0.37107,0.7620516
1,0.5530989,,,,0.5530989,0.457094
1,0.5935976,,,,0.5935976,0.4190515
1,0.5100698,,,,0.5100698,0.4469716
1,0.3948583,,,,0.3948583,0.4552219
1,0.5383604,,,,0.5383604,0.729685
1,0.3225535,,,,0.3225535,0.3868225
1,0.5333894,,,,0.5333894,0.3835718
1,0.6420652,,,,0.6420652,0.3942561
1,0.4176086,,,,0.4176086,0.4917536
1,0.6141132,,,,0.6141132,0.4519278
1,0.7917353,,,,0.7917353,0.4339347
1,0.7131845,,,,0.7131845,0.4917108
1,0.4429139,,,,0.4429139,0.4382478
1,0.3370626,,,,0.3370626,0.4806447
1,0.504471,,,,0.504471,0.3746802
1,0.6485031,,,,0.6485031,0.4858935
1,0.2696184,,,,0.2696184,0.7998733
1,0.3147524,,,,0.3147524,1.1676509
1,0.3745053,,,,0.3745053,0.4504753
1,0.3233541,,,,0.3233541,0.5323383
1,0.1879564,,,,0.1879564,0.5076317
1,0.4570734,,,,0.4570734,0.4997565
1,0.41331,,,,0.41331,0.5680334
1,0.7846666,,,,0.7846666,0.518928
1,0.9508078,,,,0.9508078,0.4892044
1,0.4265607,,,,0.4265607,0.8686968
1,0.0501558,,,,0.0501558,0.4323174
1,0.5007145,,,,0.5007145,0.6792808
1,0.3246495,,,,0.3246495,0.4308138
1,0.2317049,,,,0.2317049,0.4034858
1,0.3186869,,,,0.3186869,0.4343716
1,0.2520717,,,,0.2520717,0.4763416
1,0.0973535,,,,0.0973535,0.6992515
1,0.4347571,,,,0.4347571,0.5473972
1,0.4270752,,,,0.4270752,0.5259048
1,0.3112895,,,,0.3112895,0.4903938
1,0.3781254,,,,0.3781254,0.381768
1,0.3430276,,,,0.3430276,0.4964452
1,0.2921025,,,,0.2921025,0.4230733
1,0.2277457,,,,0.2277457,0.5581125
1,0.3289477,,,,0.3289477,0.6488287
1,0.2820962,,,,0.2820962,0.5165408
1,0.3897469,,,,0.3897469,0.4132674
1,0.2533739,,,,0.2533739,0.4011379
1,0.2977753,,,,0.2977753,0.6450353
1,0.3062064,,,,0.3062064,0.5109138
1,0.3360363,,,,0.3360363,0.5270986
1,0.3950147,,,,0.3950147,0.4479659
1,0.3001626,,,,0.3001626,0.4433573
1,0.3336853,,,,0.3336853,0.4566111
1,0.4932823,,,,0.4932823,0.4580005
1,0.3340685,,,,0.3340685,0.4523704
1,0.4401826,,,,0.4401826,0.3771864
1,0.385461,,,,0.385461,0.4132012
1,0.0037968,,,,0.0037968,0.474238
1,0.0543787,,,,0.0543787,0.5555252
1,0.0844106,,,,0.0844106,0.4799889
1,0.2757033,,,,0.2757033,0.3730198
1,0.4203727,,,,0.4203727,0.3593433
1,0.2664512,,,,0.2664512,0.4429623
1,0.4869272,,,,0.4869272,0.5070168
1,0.1822947,,,,0.1822947,0.4004839
1,0.320253,,,,0.320253,0.4380165
1,0.2644343,,,,0.2644343,0.3732892
1,0.2902263,,,,0.2902263,0.4172303
1,0.31621,,,,0.31621,0.4658446
1,0.4183959,,,,0.4183959,0.4533943
1,0.3041591,,,,0.3041591,0.3947924
1,0.651812,,,,0.651812,0.4818501
1,0.4043539,,,,0.4043539,0.4542383
1,0.3571838,,,,0.3571838,0.5386776
1,0.2917376,,,,0.2917376,0.7387661
1,0.4614519,,,,0.4614519,0.4614337
1,0.2623713,,,,0.2623713,0.470842
1,0.286566,,,,0.286566,0.4708881
1,0.0273918,,,,0.0273918,0.3754795
1,0.5602589,,,,0.5602589,0.5016932
1,0.3608489,,,,0.3608489,0.547793
1,0.1307234,,,,0.1307234,0.4314596
1,0.3209376,,,,0.3209376,0.5987008
1,0.2465123,,,,0.2465123,0.8287939
1,0.2653712,,,,0.2653712,0.4059754
1,0.291955,,,,0.291955,0.5313149
1,0.0354645,,,,0.0354645,0.469897
1,0.5206429,,,,0.5206429,0.4210289
1,0.1374175,,,,0.1374175,
1,0.3814059,,,,0.3814059,
1,0.0550348,,,,0.0550348,
1,0.4541835,,,,0.4541835,
1,1.0672161,,,,,
1,0.439369,,,,0.379153094,0.517677011
1,1.1171229,,,,Mean difference: ,0.138523917
1,0.5264319,,,,,
1,0.5733696,,,,,
1,0.8622176,,,,,
1,0.7620516,,,,,
1,0.457094,,,,,
1,0.4190515,,,,,
1,0.4469716,,,,,
1,0.4552219,,,,,
1,0.729685,,,,,
1,0.3868225,,,,,
1,0.3835718,,,,,
1,0.3942561,,,,,
1,0.4917536,,,,,
1,0.4519278,,,,,
1,0.4339347,,,,,
1,0.4917108,,,,,
1,0.4382478,,,,,
1,0.4806447,,,,,
1,0.3746802,,,,,
1,0.4858935,,,,,
1,0.7998733,,,,,
1,1.1676509,,,,,
1,0.4504753,,,,,
1,0.5323383,,,,,
1,0.5076317,,,,,
1,0.4997565,,,,,
1,0.5680334,,,,,
1,0.518928,,,,,
1,0.4892044,,,,,
1,0.8686968,,,,,
1,0.4323174,,,,,
1,0.6792808,,,,,
1,0.4308138,,,,,
1,0.4034858,,,,,
1,0.4343716,,,,,
1,0.4763416,,,,,
1,0.6992515,,,,,
1,0.5473972,,,,,
1,0.5259048,,,,,
1,0.4903938,,,,,
1,0.381768,,,,,
1,0.4964452,,,,,
1,0.4230733,,,,,
1,0.5581125,,,,,
1,0.6488287,,,,,
1,0.5165408,,,,,
1,0.4132674,,,,,
1,0.4011379,,,,,
1,0.6450353,,,,,
1,0.5109138,,,,,
1,0.5270986,,,,,
1,0.4479659,,,,,
1,0.4433573,,,,,
1,0.4566111,,,,,
1,0.4580005,,,,,
1,0.4523704,,,,,
1,0.3771864,,,,,
1,0.4132012,,,,,
1,0.474238,,,,,
1,0.5555252,,,,,
1,0.4799889,,,,,
1,0.3730198,,,,,
1,0.3593433,,,,,
1,0.4429623,,,,,
1,0.5070168,,,,,
1,0.4004839,,,,,
1,0.4380165,,,,,
1,0.3732892,,,,,
1,0.4172303,,,,,
1,0.4658446,,,,,
1,0.4533943,,,,,
1,0.3947924,,,,,
1,0.4818501,,,,,
1,0.4542383,,,,,
1,0.5386776,,,,,
1,0.7387661,,,,,
1,0.4614337,,,,,
1,0.470842,,,,,
1,0.4708881,,,,,
1,0.3754795,,,,,
1,0.5016932,,,,,
1,0.547793,,,,,
1,0.4314596,,,,,
1,0.5987008,,,,,
1,0.8287939,,,,,
1,0.4059754,,,,,
1,0.5313149,,,,,
1,0.469897,,,,,
1,0.4210289,,,,,
